0 189.86 ms
1 0.02 ms
2 33.77 ms
3 0.02 ms
4 0.01 ms
5 21.14 ms
6 0.02 ms
7 2.52 ms
8 0.02 ms
9 0.01 ms
10 2.47 ms
11 0.02 ms
12 2.54 ms
13 0.02 ms
14 2.27 ms
15 0.01 ms
16 1.23 ms
17 0.01 ms
18 8.80 ms
19 0.01 ms
20 0.01 ms
21 3.90 ms
22 0.02 ms
23 34.75 ms
24 0.02 ms
25 1.07 ms
26 0.01 ms
27 0.01 ms
28 2.64 ms
29 0.01 ms
30 2.43 ms
31 0.01 ms
32 8.93 ms
33 0.02 ms
34 33.47 ms
35 0.01 ms
36 0.00 ms
37 2.60 ms
38 0.00 ms
39 2.45 ms
40 0.01 ms
41 1.29 ms
42 0.01 ms
43 0.01 ms
44 35.20 ms
45 0.02 ms
46 1.14 ms
47 0.03 ms
48 1.24 ms
49 0.03 ms
50 1.17 ms
51 0.01 ms
52 0.01 ms
53 35.11 ms
54 0.02 ms
55 1.22 ms
56 0.02 ms
57 2.39 ms
58 0.01 ms
59 0.01 ms
60 3.81 ms
61 0.02 ms
62 4.97 ms
63 0.05 ms
64 36.18 ms
65 0.03 ms
66 1.17 ms
67 0.01 ms
68 0.01 ms
69 2.46 ms
70 0.01 ms
71 1.38 ms
72 0.01 ms
73 0.01 ms
74 34.91 ms
75 0.02 ms
76 2.52 ms
77 0.02 ms
78 0.01 ms
79 3.55 ms
80 1.21 ms
81 0.01 ms
82 6.38 ms
83 0.02 ms
84 0.01 ms
85 34.79 ms
86 0.01 ms
87 2.51 ms
88 0.01 ms
89 0.00 ms
90 1.22 ms
91 0.01 ms
92 3.73 ms
93 0.01 ms
94 3.60 ms
95 0.01 ms
96 33.97 ms
97 0.03 ms
98 1.05 ms
99 0.01 ms
100 0.01 ms
101 2.59 ms
102 0.02 ms
103 3.77 ms
104 0.02 ms
105 0.01 ms
106 34.96 ms
107 0.01 ms
108 2.44 ms
109 0.01 ms
110 0.00 ms
111 2.50 ms
112 2.50 ms
113 0.01 ms
114 7.69 ms
115 0.02 ms
116 0.01 ms
117 8.72 ms
118 0.02 ms
119 33.73 ms
120 0.02 ms
121 1.00 ms
122 0.02 ms
123 0.01 ms
124 2.67 ms
125 0.02 ms
126 1.14 ms
127 0.02 ms
128 33.54 ms
129 0.01 ms
130 2.56 ms
131 0.01 ms
132 0.00 ms
133 2.49 ms
134 0.01 ms
135 1.23 ms
136 0.01 ms
137 0.00 ms
138 36.44 ms
139 0.02 ms
140 1.17 ms
141 0.02 ms
142 0.01 ms
143 2.43 ms
144 2.46 ms
145 0.02 ms
146 3.86 ms
147 0.02 ms
148 0.01 ms
149 33.46 ms
150 0.01 ms
151 27.48 ms
152 0.01 ms
153 0.00 ms
154 2.65 ms
155 0.02 ms
156 7.40 ms
157 0.01 ms
158 0.00 ms
159 2.48 ms
160 1.25 ms
161 0.00 ms
162 1.40 ms
163 0.01 ms
164 0.01 ms
165 3.71 ms
166 0.01 ms
167 33.73 ms
168 0.02 ms
169 2.59 ms
170 0.02 ms
171 0.01 ms
172 4.86 ms
