delay 0 message size 1
98 0.00 ms
99 0.00 ms
min	max	mean	median	stddev	var	[ms]
0.00	26.42	0.58	0.00	3.03	9.18
delay 0 message size 8
0 19.71 ms
1 3.37 ms
2 0.00 ms
3 0.00 ms
4 0.00 ms
5 0.02 ms
6 0.00 ms
7 0.00 ms
8 2.56 ms
9 0.00 ms
10 0.00 ms
11 0.00 ms
12 0.02 ms
13 0.00 ms
14 0.00 ms
15 0.00 ms
16 0.01 ms
17 8.58 ms
18 0.00 ms
19 0.00 ms
20 0.00 ms
21 0.03 ms
22 0.00 ms
23 0.00 ms
24 0.00 ms
25 2.70 ms
26 0.00 ms
27 0.00 ms
28 0.00 ms
29 0.01 ms
30 0.00 ms
31 0.00 ms
32 8.56 ms
33 0.00 ms
34 0.00 ms
35 0.00 ms
36 0.01 ms
37 0.00 ms
38 0.00 ms
39 0.00 ms
40 0.01 ms
41 2.56 ms
42 0.00 ms
43 0.00 ms
44 0.00 ms
45 0.02 ms
46 0.00 ms
47 0.00 ms
48 6.10 ms
49 0.00 ms
50 0.00 ms
51 0.00 ms
52 0.02 ms
53 0.00 ms
54 0.00 ms
55 0.00 ms
56 3.89 ms
57 0.00 ms
58 0.00 ms
59 0.00 ms
60 0.03 ms
61 0.00 ms
62 0.00 ms
63 0.00 ms
64 0.02 ms
65 6.01 ms
66 0.00 ms
67 0.00 ms
68 0.00 ms
69 0.03 ms
70 0.00 ms
71 0.00 ms
72 6.19 ms
73 0.00 ms
74 0.00 ms
75 0.00 ms
76 0.02 ms
77 0.00 ms
78 0.00 ms
79 0.00 ms
80 3.90 ms
81 0.00 ms
82 0.00 ms
83 0.00 ms
84 0.02 ms
85 0.00 ms
86 0.00 ms
87 0.00 ms
88 0.04 ms
89 6.02 ms
90 0.00 ms
91 0.00 ms
92 0.00 ms
93 0.03 ms
94 0.00 ms
95 0.00 ms
96 13.40 ms
97 0.00 ms
98 0.00 ms
99 0.00 ms
min	max	mean	median	stddev	var	[ms]
0.00	19.71	0.94	0.00	2.89	8.37
delay 0 message size 16
0 24.82 ms
1 0.00 ms
2 2.76 ms
3 0.00 ms
4 0.03 ms
5 0.00 ms
6 2.58 ms
7 0.00 ms
8 0.02 ms
9 0.00 ms
10 2.38 ms
11 0.00 ms
12 0.03 ms
13 0.00 ms
14 18.13 ms
15 0.00 ms
16 0.03 ms
17 0.00 ms
18 3.17 ms
19 0.00 ms
20 0.03 ms
21 0.00 ms
22 2.37 ms
23 0.00 ms
24 0.02 ms
25 0.00 ms
26 3.85 ms
27 0.00 ms
28 0.02 ms
29 0.00 ms
30 8.50 ms
31 0.00 ms
32 0.02 ms
33 0.00 ms
34 2.50 ms
35 0.00 ms
36 0.02 ms
37 0.00 ms
38 2.46 ms
39 0.00 ms
40 0.02 ms
41 0.00 ms
42 3.88 ms
43 0.00 ms
44 0.03 ms
45 0.00 ms
46 6.08 ms
47 0.00 ms
48 0.03 ms
49 0.00 ms
50 3.85 ms
51 0.00 ms
52 0.02 ms
53 0.00 ms
54 6.09 ms
55 0.00 ms
56 0.03 ms
57 0.00 ms
58 3.77 ms
59 0.00 ms
60 0.03 ms
61 0.00 ms
62 8.72 ms
63 0.00 ms
64 0.03 ms
65 0.00 ms
66 2.55 ms
67 0.00 ms
68 0.02 ms
69 0.00 ms
70 8.63 ms
71 0.00 ms
72 0.02 ms
73 0.00 ms
74 2.56 ms
75 0.00 ms
76 0.02 ms
77 0.00 ms
78 6.11 ms
79 0.00 ms
80 0.02 ms
81 0.00 ms
82 6.21 ms
83 0.00 ms
84 0.02 ms
85 0.00 ms
